index,reactant_smiles
324,CC(C)(C)OC(=O)N[C@@]1(c2ccccc2F)CCO[C@H]1C=O
325,CCCC(=O)CCC[C@H]1CC[C@H](C=O)N1C(=O)OCc1ccccc1
326,C(c1ccccn1)=P(c1ccccc1)(c1ccccc1)c1ccccc1
327,NS(=O)(=O)Oc1ccccc1C=O
328,O=Cc1cc2c3c(c1)CCCN3CCC2
329,Cc1ccc(S(=O)(=O)n2cc(-c3ccccc3C=O)c3ccccc32)cc1
330,C/C(=C\[C@H](C)CCC=O)C(=O)c1ccco1
331,COCOc1c(C)cccc1C(=O)CNC(=O)OC(C)(C)C
332,CN1c2ccccc2Sc2cc(C=P(c3ccccc3)(c3ccccc3)c3ccccc3)ccc21
333,COC(=O)CCC[C@@H]1O[C@H]1C=O
334,Cc1cccc(C=O)c1O
335,O=CCCCCCC=O
336,O=C1CCC(n2nnc3cnc4c(ccn4S(=O)(=O)c4ccccc4)c32)CC1
337,COCOc1ccc(/C=C(\Oc2ccc(C=O)cc2OC)C(=O)OC)cc1OC
338,CC(C)(C)[Si](C)(C)OCC1(C=O)CC1(c1ccccc1)c1ccccc1
339,O=CCCCCc1ccccc1
340,CC(=O)CCC(C=O)C(C)C
341,O=Cc1sc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)c2c1C1CCC2CC1
342,O=C(C=P(c1ccccc1)(c1ccccc1)c1ccccc1)Nc1ccccc1
343,C=C(C)c1cccc(C(=O)C(C)C)c1
344,CCOC(=O)[C@H]1CC=C[C@H](CC=O)[C@]12C(=O)Oc1ccccc12
345,O=CCCCC#Cc1ccccc1
